panda 熊猫  
lion 狮子  
elephant 象  
monkey 猴子  
tiger 老虎  
deer(pl.deer) 鹿  
snake 蛇  
rabbit 兔子  
duck 鸭  
fox 狐狸  
horse 马  
bear 熊  
cage 笼(子),鸟笼  
should (shall的过去式)将,会,应该  
forest 森林  
feel 觉得,感到  
if 假如,如果  
fall 落下,跌倒  
climb 爬,攀登  
finish 完成,结束  
cinema 电影院,电影  
seafood 海鲜,海产食品  
twentieth 第十二  
baby 婴儿,幼畜  
back 背部,后面  
place 地点,地方  
twenty-first 第二十一  
bank 银行  
theatre(theater) 剧场,戏院  
bookshop 书店  
toilet 厕所  
museum 博物馆  
front 前面(的),前部  
in front of 在...前面
left 左(的),左边(的)  
right 右(的),右边(的)  
side 边,面  
on the left/right side
all the same 仍然,还是
need 需要,必需  
ask for 请求,询问 
along 沿着,顺着 一起,一道 
road 道路,公路  
turn (使)转动,(使)翻动  
turning 拐弯处  
metre 公尺,米  
kilometre 公里,千米  
had better (do) 最好(做...)
coin 硬币  
keep 保持,留住  
as 按照,如同  
moment 片刻,瞬间  
tell 告述,讲述,吩咐  
street 街道  
next to 相邻,靠近 
around 在...周围,环绕着  
lift 电梯  
up and down 上上下下,来来回回
busy 忙的,繁忙的  
team 队,组  
centre(center) 中心  
popular 大众的,流行的  
soccer 英式足球  
quite 很,十分  
month 月  
village 村庄,乡村  
strong 强壮的,坚强的  
was be(am,is,are)的过去式  
yesterday 昨天  
November 十一月  
ill 病的  
hope 希望  
composition 作文作品  
remember 记起,想起  
were 动词be(are)的过去式  
bit 一点儿,小片  
a bit 一点儿 
healthy 健康的,健壮的  
grow up 成长,长大 
visit 参观,访问,拜访  
ago 以前  
the day before yesterday
enjoy 喜欢,享受...乐趣  
world 世界  
at the same time
a moment ago 刚才
just now 不久以前,刚才 
reply 答复,回答  
by the way 顺便说,顺便问一下
match 比赛,竞赛  
cold 冷的,寒冷的  
drive 驾驶  
plan 计划  
diary 日记  
make telephone calls 打电话
go out 外出,到外面 
India 印度  
went 动词go的过去式  
rain 下雨  
rained 动词rain的过去式  
momery 记忆力,存储器  
pack 打包,打行李  
everything 每件事,每样东西,一切  
umbrella 伞,雨伞  
dry 干的,干燥的  
newspaper 报纸  
paper 纸,报纸  
morning paper 晨报 
at breakfast 早餐时 
say goodbye to 告别,告辞
useful 有用的,有益的  
scientist 科学家  
invent 发明,创造  
all the time 一直,始终,老是
always 总是,一直,经常  
everywhere 到处,无论哪里  
born (动词bear的过去分词)出生  
be born 出生于 
May 五月  
move 移动,搬动,搬家  
understand 懂得,理解  
so-so (口语)不好不坏的,马马虎虎  
at first 起先,首先 
most 大部分,大多数  
luck 运气,好运  
April 四月  
hate 讨厌,不喜欢,憎恨  
fly 飞,飞行,乘飞机旅行  
painting 油画,水彩画  
airport 航空站,飞机场  
Swedish 瑞典的,瑞典人的  
rock 摇动,摇滚乐  
band 乐队  
concert 音乐会,演奏会  
give a concert 开音乐会
tonight 今晚  
singer 歌唱者,歌手  
journalist 记者,新闻工作者  
famous 有名的,著名的  
Sweden 瑞典  
song 歌,歌曲,歌谣  
more than 多过,...以上,比....更 
thousand 千  
accident 事故,灾难  
careless 粗心的,大意的  
fall down 倒下,跌倒,从...落下 
break 折断,断裂,破碎  
go on 继续 
someone 某人,有人  
heart 心(脏)  
past 过去(的)  
end 末端,终点,结束  
at the end of
happen (偶然)发生,碰巧  
part 部分  
tourist 旅游者,观光者  
go back 回去 
in a hurry 匆忙地
grape 葡萄  
science (自然)科学  
marry 结婚  
get married 结婚 
subject 题目,题材  
friendship 友谊,友情  
anyone 任何人  
date 日期  
season 季节  
write down 写下,记下 
January 一月  
March 三月  
June 六月  
July 七月  
August 八月  
December 十二月  
spring 春天  
last 持续,耐久  
weather 天气  
warm 暖和的,热情的  
come out (花)开,发(芽),出来 
heavily 打量地,猛烈地,厉害地  
crop 庄稼,收成  
really 确实,真正地  
snow 雪,下雪  
snowman 雪人  
all the year round
TRUE 真的,真实的  
nearly 将近,几乎  
unlike 不像,和...不同  
opposite 对面的,相反的  
sunny 晴朗的,阳光充足的  
cloud 云  
cloudy 多云的,阴天的  
wet 湿的  
rainy 多雨的,下雨的  
wind 风  
windy 有风的,风大的  
snowy 多雪的,降雪的  
later 以后,后来  
later on 后来,稍后 
ring (钟,铃等)响,摇铃  
ring up 打电话 
west 西方、西部(的)  
strange 奇怪的,陌生的  
sunshine 日光,阳光  
melon 瓜  
radio 收音机  
report 报导,报告  
north 北方(的),北部(的)  
south 南方(的),南部(的)  
at times 有时,偶尔 
northeast 东北,东北部  
temperature 温度  
above 在...上面  
daytime 白天  
below 在...下,低于  
northwest 西北,西北部  
lift (云,雾等)消散,(雨)停止  
worse ( bad,ill的比较级)更坏,更差 
foggy 有雾,多雾的  
low 低的,浅,矮的  
birthday 生日  
invite 邀请,招待  
film 影片,电影  
hold 拿,握  
hold on (打电话时)等一等,不挂断 
message 消息,信息  
take/leave a message 捎/留口信
ready 准备好的,乐意的  
sandwich 三明治,夹心面包片  
plate 盘子,碟子  
candle 蜡烛  
doorbell 门铃  
present 礼物  
smile 微笑  
telephone(phone) 电话,电话机  
double 两倍(的),双倍(的)  
but 除了  
take out 取出 
the same as 和...相同
word 词,单词  
shout 呼喊,喊叫  
turn over 把...翻过来 
study 书房  
less ( little的比较级)较少的,较小的 
less than 不到,少于 
be late for 迟到
beef 牛肉  
help yourself to 自取,随便吃
Christmas 圣诞节  
during 在...的期间  
Spring Festival 春节 
exam (口语)考试  
get-together 聚会  
put on (戏剧等)上演,放(唱片等) 
play 剧,戏剧  
shower 降雨,骤雨  
showery 降雨的,多阵雨的  
magical 魔法(似)的  
Rome 罗马(意大利首都)  
Berlin 柏林  
Moscow 莫斯科  
kitchen 厨房  
cupboard 碗橱,小橱(柜)  
few 少数的,不多的  
a few 一些,几个 
salt 盐  
sugar 糖  
pepper 胡椒  
oil 油  
wine 酒  
beer 啤酒  
fork 叉,餐叉  
spoon 匙,调羹  
chopsticks (常用复数)筷子  
cabbage 卷心菜,洋白菜  
pea 豌豆  
butter 黄油  
cheese 乳酪  
soup 汤  
Italian 意大利人(的),意大利语(的)  
pizza (意大利)烤馅饼  
Indian 印度人(的 ),印第安人(的) 
kinds of 各种各样的 
workplace 工作场所  
seem 好像,似乎  
even 甚至,更  
Italy 意大利  
chocolate 巧克力,巧克力糖  
ice 冰  
make 使...(发生)  
laugh (大)笑,发笑  
both 两个(人....)都  
either (用于否定句中)也(不)  
either...or... 或者...或者...  
anything 任何事(物)  
neither (两者)都不  
nor 也不  
neither...nor..conj 既不...也不...  
a bit (of) 少量(的),一点
without 无,没有,不  
take a seat 坐下,就坐
take-away 可拿走的(熟食)  
waiter 服务员  
madam 女士,夫人,小姐  
menu (餐厅等的)菜单  
order 订购,点菜 订购单,定购,一份菜 
bill 帐单,清单,纸币  
be famous for 因...而有名的
kind 和蔼的,友好的  
lady 女士,夫人  
ladies' room (妇女)公共厕所 
tell 说,告述,吩咐  
library 图书馆  
cross 十字形(物),十字记号  
crossing 十字路口,交叉点  
across 穿过,横过  
miss 错过  
church 教堂,教会  
cafe 小餐馆,咖啡厅  
video 录像  
reach 到达,抵达,达到  
corner 角落,(街道)拐角  
on one's way to
sick 患病的  
pocket 衣袋  
still 仍旧,更  
weak 弱的,差的  
wait for 等候 
cut 割,砍,切  
finger 手指  
geography 地理(学)  
physics 物理(学)  
history 历史(学)  
key 钥匙  
fix 修理,安装  
lab (=laboratory) 实验室 
suddenly 突然地  
DVD 光碟,影碟  
in time 及时 
make one's way to
sign 标记,符号,痕迹  
lost 迷途的,丢失的  
be/get lost 迷失(道路) 
just then 正在那时 
first of all 首先,第一
main 主要的  
go wrong 走错路 
hit 打,击中,撞  
